CONSTANT_MODS
HexNAc3Hex7Phospho2Fuc (N)
HexNAc3Hex7Phospho2Fuc2 (N)
HexNAc3Hex8 (N)
HexNAc3Hex8Phospho (N)
HexNAc3Hex8PhosphoFuc (N)
HexNAc3Hex8PhosphoFuc2 (N)
HexNAc3Hex8Phospho2 (N)
HexNAc3Hex8Phospho2Fuc (N)
HexNAc3Hex8Phospho2Fuc2 (N)
HexNAc3Hex9 (N)
HexNAc3Hex9Phospho (N)
HexNAc3Hex9PhosphoFuc (N)
HexNAc3Hex9PhosphoFuc2 (N)
HexNAc3Hex9Phospho2 (N)
HexNAc3Hex9Phospho2Fuc (N)
HexNAc3Hex9Phospho2Fuc2 (N)
HexNAc3Sulfo (ST)
HexNAc4Hex (ST)
HexNAc4HexFuc (ST)
HexNAc4Hex2 (ST)
HexNAc4Hex2Fuc (ST)
HexNAc4Hex2Fuc2 (ST)
HexNAc4Hex3 (N)
HexNAc4Hex3 (ST)
HexNAc4Hex3Fuc (N)
HexNAc4Hex3Fuc (ST)
HexNAc4Hex3FucNeuAc (N)
HexNAc4Hex3FucNeuAc (ST)
HexNAc4Hex3FucNeuAc2 (ST)
HexNAc4Hex3Fuc2 (N)
HexNAc4Hex3Fuc2 (ST)
HexNAc4Hex3Fuc2NeuAc (N)
HexNAc4Hex3Fuc3 (N)
HexNAc4Hex3NeuAc (N)
HexNAc4Hex3NeuGc (N)
HexNAc4Hex4 (N)
HexNAc4Hex4 (ST)
HexNAc4Hex4Fuc (N)
HexNAc4Hex4Fuc (ST)
HexNAc4Hex4FucNeuAc (N)
HexNAc4Hex4FucNeuAc (ST)
HexNAc4Hex4FucNeuGc (N)
HexNAc4Hex4Fuc2 (N)
HexNAc4Hex4Fuc2 (ST)
HexNAc4Hex4Fuc2NeuAc (N)
HexNAc4Hex4Fuc2NeuAc (ST)
HexNAc4Hex4Fuc2NeuAc2 (ST)
HexNAc4Hex4Fuc2NeuGc (N)
HexNAc4Hex4Fuc3 (N)
HexNAc4Hex4Fuc3NeuAc (ST)
HexNAc4Hex4NeuAc (N)
HexNAc4Hex4NeuAc (ST)
HexNAc4Hex4NeuAc2 (N)
HexNAc4Hex4NeuAc2 (ST)
HexNAc4Hex4NeuAc3 (ST)
HexNAc4Hex4NeuAc4 (ST)
HexNAc4Hex4NeuGc (N)
HexNAc4Hex5 (N)
HexNAc4Hex5 (ST)
HexNAc4Hex5Fuc (N)
HexNAc4Hex5FucNeuAc (N)
HexNAc4Hex5FucNeuAcNeuGc (N)
HexNAc4Hex5FucNeuAc2 (N)
HexNAc4Hex5FucNeuGc (N)
HexNAc4Hex5FucNeuGcNeuGcAc (N)
HexNAc4Hex5FucNeuGc2 (N)
HexNAc4Hex5Fuc2 (N)
HexNAc4Hex5Fuc2NeuAc (N)
HexNAc4Hex5Fuc2NeuAcNeuGc (N)
HexNAc4Hex5Fuc2NeuAc2 (N)
HexNAc4Hex5Fuc2NeuGc (N)
HexNAc4Hex5Fuc2NeuGcNeuGcAc (N)
HexNAc4Hex5Fuc2NeuGc2 (N)
HexNAc4Hex5Fuc3 (N)
HexNAc4Hex5Fuc3NeuAc (N)
HexNAc4Hex5Fuc3NeuAcNeuGc (N)
HexNAc4Hex5Fuc3NeuAc2 (N)
HexNAc4Hex5Fuc3NeuGc (N)
HexNAc4Hex5Fuc3NeuGcNeuGcAc (N)
HexNAc4Hex5Fuc3NeuGc2 (N)
HexNAc4Hex5Fuc4 (N)
HexNAc4Hex5NeuAc (N)
HexNAc4Hex5NeuAcNeuGc (N)
HexNAc4Hex5NeuAcNeuGc2 (N)
HexNAc4Hex5NeuAc2 (N)
HexNAc4Hex5NeuAc2NeuGc (N)
HexNAc4Hex5NeuAc3 (N)
HexNAc4Hex5NeuGc (N)
HexNAc4Hex5NeuGcNeuGcAc (N)
HexNAc4Hex5NeuGc2 (N)
HexNAc4Hex5NeuGc3 (N)
HexNAc4Hex6 (N)
HexNAc4Hex6Fuc (N)
HexNAc4Hex6FucNeuAc (N)
HexNAc4Hex6FucNeuAc2 (N)
HexNAc4Hex6FucNeuGc (N)
HexNAc4Hex6FucNeuGc2 (N)
HexNAc4Hex6Fuc2 (N)
HexNAc4Hex6Fuc2NeuAc (N)
HexNAc4Hex6Fuc2NeuAc2 (N)
HexNAc4Hex6Fuc2NeuGc (N)
HexNAc4Hex6Fuc2NeuGc2 (N)
HexNAc4Hex6Fuc3 (N)
HexNAc4Hex6NeuAc (N)
HexNAc4Hex6NeuAc2 (N)
HexNAc4Hex6NeuAc3 (N)
HexNAc4Hex6NeuGc (N)
HexNAc4Hex6NeuGc2 (N)
HexNAc4Hex7 (N)
HexNAc4Hex7Fuc (N)
HexNAc4Hex7FucNeuAc (N)
HexNAc4Hex7Fuc2 (N)
HexNAc4Hex7NeuAc (N)
HexNAc4Hex7Phospho (N)
HexNAc4Hex7Phospho2 (N)
HexNAc4Hex8Phospho (N)
HexNAc4Hex8Phospho2 (N)
HexNAc4Hex9Phospho (N)
HexNAc4Hex9Phospho2 (N)
HexNAc5Hex2 (ST)
HexNAc5Hex3 (N)
HexNAc5Hex3 (ST)
HexNAc5Hex3Fuc (N)
HexNAc5Hex3Fuc (ST)
HexNAc5Hex3FucNeuAc (N)
HexNAc5Hex3FucNeuAc (ST)
HexNAc5Hex3FucNeuGc (N)
HexNAc5Hex3Fuc2 (N)
HexNAc5Hex3Fuc2 (ST)
HexNAc5Hex3Fuc2NeuAc (N)
HexNAc5Hex3NeuAc (N)
HexNAc5Hex3Sulfo (ST)
HexNAc5Hex4 (N)
HexNAc5Hex4 (ST)
HexNAc5Hex4Fuc (N)
HexNAc5Hex4FucNeuAc (N)
HexNAc5Hex4FucNeuAc (ST)
HexNAc5Hex4FucNeuAcNeuGc (N)
HexNAc5Hex4FucNeuAc2 (N)
HexNAc5Hex4FucNeuAc2 (ST)
HexNAc5Hex4FucNeuGc (N)
HexNAc5Hex4FucNeuGcNeuGcAc (N)
HexNAc5Hex4FucNeuGc2 (N)
HexNAc5Hex4Fuc2 (N)
HexNAc5Hex4Fuc2NeuAc (N)
HexNAc5Hex4Fuc2NeuGc (N)
HexNAc5Hex4Fuc2NeuGcNeuGcAc (N)
HexNAc5Hex4Fuc2NeuGc2 (N)
HexNAc5Hex4Fuc3 (N)
HexNAc5Hex4Fuc4 (N)
HexNAc5Hex4NeuAc (N)
HexNAc5Hex4NeuAcNeuGc (N)
HexNAc5Hex4NeuAc2 (N)
HexNAc5Hex4NeuAc2 (ST)
HexNAc5Hex4NeuGc (N)
HexNAc5Hex4NeuGc2 (N)
HexNAc5Hex4NeuGc3 (N)
HexNAc5Hex5 (N)
HexNAc5Hex5 (ST)
HexNAc5Hex5Fuc (N)
HexNAc5Hex5Fuc (ST)
HexNAc5Hex5FucNeuAc (N)
HexNAc5Hex5FucNeuAcNeuGc (N)
HexNAc5Hex5FucNeuAc2 (N)
HexNAc5Hex5FucNeuGc (N)
HexNAc5Hex5FucNeuGcNeuGcAc (N)
HexNAc5Hex5FucNeuGc2 (N)
HexNAc5Hex5Fuc2 (N)
HexNAc5Hex5Fuc2 (ST)
HexNAc5Hex5Fuc2NeuAc (N)
HexNAc5Hex5Fuc2NeuAc2 (N)
HexNAc5Hex5Fuc2NeuGc (N)
HexNAc5Hex5Fuc2NeuGcNeuGcAc (N)
HexNAc5Hex5Fuc2NeuGc2 (N)
HexNAc5Hex5Fuc3 (N)
HexNAc5Hex5Fuc3 (ST)
HexNAc5Hex5Fuc3NeuGcNeuGcAc (N)
HexNAc5Hex5Fuc4 (N)
HexNAc5Hex5Fuc4 (ST)
HexNAc5Hex5NeuAc (N)
HexNAc5Hex5NeuAc (ST)
HexNAc5Hex5NeuAcNeuGc (N)
HexNAc5Hex5NeuAc2 (N)
HexNAc5Hex5NeuAc2 (ST)
HexNAc5Hex5NeuAc3 (N)
HexNAc5Hex5NeuAc3 (ST)
HexNAc5Hex5NeuGc (N)
HexNAc5Hex5NeuGc2 (N)
HexNAc5Hex5NeuGc3 (N)
