VARIABLE_MODS
HexNAc2Hex2NeuAc2 (ST)
HexNAc2Hex2NeuAc2NeuAcAc (Neutral loss)
HexNAc2Hex2NeuAc2NeuAcAc (ST)
HexNAc2Hex2NeuAc2NeuAcAc2 (Neutral loss)
HexNAc2Hex2NeuAc2NeuAcAc2 (ST)
HexNAc2Hex2NeuAc2Sulfo (Neutral loss)
HexNAc2Hex2NeuAc2Sulfo (ST)
HexNAc2Hex2NeuAc3 (Neutral loss)
HexNAc2Hex2NeuAc3 (ST)
HexNAc2Hex2NeuAc3NeuAcAc (Neutral loss)
HexNAc2Hex2NeuAc3NeuAcAc (ST)
HexNAc2Hex2NeuAc4 (Neutral loss)
HexNAc2Hex2NeuAc4 (ST)
HexNAc2Hex2NeuGc (Neutral loss)
HexNAc2Hex2NeuGc (ST)
HexNAc2Hex2Sulfo (Neutral loss)
HexNAc2Hex2Sulfo (ST)
HexNAc2Hex2Xyl (N)
HexNAc2Hex2Xyl* (N)
HexNAc2Hex3 (N)
HexNAc2Hex3 (Neutral loss)
HexNAc2Hex3 (ST)
HexNAc2Hex3* (N)
HexNAc2Hex3Fuc (N)
HexNAc2Hex3Fuc (Neutral loss)
HexNAc2Hex3Fuc (ST)
HexNAc2Hex3Fuc* (N)
HexNAc2Hex3FucNeuAc (Neutral loss)
HexNAc2Hex3FucNeuAc (ST)
HexNAc2Hex3FucNeuAc2 (Neutral loss)
HexNAc2Hex3FucNeuAc2 (ST)
HexNAc2Hex3FucXyl (N)
HexNAc2Hex3FucXyl* (N)
HexNAc2Hex3Fuc2 (N)
HexNAc2Hex3Fuc2 (Neutral loss)
HexNAc2Hex3Fuc2 (ST)
HexNAc2Hex3Fuc2* (N)
HexNAc2Hex3NeuAc (Neutral loss)
HexNAc2Hex3NeuAc (ST)
HexNAc2Hex3Xyl (N)
HexNAc2Hex3Xyl* (N)
HexNAc2Hex4 (N)
HexNAc2Hex4 (Neutral loss)
HexNAc2Hex4 (ST)
HexNAc2Hex4* (N)
HexNAc2Hex4Fuc (N)
HexNAc2Hex4Fuc* (N)
HexNAc2Hex4Phospho (N)
HexNAc2Hex4Phospho* (N)
HexNAc2Hex4PhosphoFuc (N)
HexNAc2Hex4PhosphoFuc* (N)
HexNAc2Hex4PhosphoFuc2 (N)
HexNAc2Hex4PhosphoFuc2* (N)
HexNAc2Hex5 (N)
HexNAc2Hex5 (Neutral loss)
HexNAc2Hex5 (ST)
HexNAc2Hex5* (N)
HexNAc2Hex5Fuc (N)
HexNAc2Hex5Fuc* (N)
HexNAc2Hex5Phospho (N)
HexNAc2Hex5Phospho* (N)
HexNAc2Hex5PhosphoFuc (N)
HexNAc2Hex5PhosphoFuc* (N)
HexNAc2Hex5PhosphoFuc2 (N)
HexNAc2Hex5PhosphoFuc2* (N)
HexNAc2Hex5Phospho2 (N)
HexNAc2Hex5Phospho2* (N)
HexNAc2Hex5Phospho2Fuc (N)
HexNAc2Hex5Phospho2Fuc* (N)
HexNAc2Hex5Phospho2Fuc2 (N)
HexNAc2Hex5Phospho2Fuc2* (N)
HexNAc2Hex6 (N)
HexNAc2Hex6* (N)
HexNAc2Hex6Fuc (N)
HexNAc2Hex6Fuc* (N)
HexNAc2Hex6Phospho (N)
HexNAc2Hex6Phospho* (N)
HexNAc2Hex6PhosphoFuc (N)
HexNAc2Hex6PhosphoFuc* (N)
HexNAc2Hex6PhosphoFuc2 (N)
HexNAc2Hex6PhosphoFuc2* (N)
HexNAc2Hex6Phospho2 (N)
HexNAc2Hex6Phospho2* (N)
HexNAc2Hex6Phospho2Fuc (N)
HexNAc2Hex6Phospho2Fuc* (N)
HexNAc2Hex6Phospho2Fuc2 (N)
HexNAc2Hex6Phospho2Fuc2* (N)
HexNAc2Hex7 (N)
HexNAc2Hex7* (N)
HexNAc2Hex7Fuc (N)
HexNAc2Hex7Fuc* (N)
HexNAc2Hex7Phospho (N)
HexNAc2Hex7Phospho* (N)
HexNAc2Hex7PhosphoFuc (N)
HexNAc2Hex7PhosphoFuc* (N)
HexNAc2Hex7PhosphoFuc2 (N)
HexNAc2Hex7PhosphoFuc2* (N)
HexNAc2Hex7Phospho2 (N)
HexNAc2Hex7Phospho2* (N)
HexNAc2Hex7Phospho2Fuc (N)
HexNAc2Hex7Phospho2Fuc* (N)
HexNAc2Hex7Phospho2Fuc2 (N)
HexNAc2Hex7Phospho2Fuc2* (N)
HexNAc2Hex8 (N)
HexNAc2Hex8* (N)
HexNAc2Hex8Phospho (N)
HexNAc2Hex8Phospho* (N)
HexNAc2Hex8PhosphoFuc (N)
HexNAc2Hex8PhosphoFuc* (N)
HexNAc2Hex8PhosphoFuc2 (N)
HexNAc2Hex8PhosphoFuc2* (N)
HexNAc2Hex8Phospho2 (N)
HexNAc2Hex8Phospho2* (N)
HexNAc2Hex8Phospho2Fuc (N)
HexNAc2Hex8Phospho2Fuc* (N)
HexNAc2Hex8Phospho2Fuc2 (N)
HexNAc2Hex8Phospho2Fuc2* (N)
HexNAc2Hex9 (N)
HexNAc2Hex9* (N)
HexNAc2Hex9Phospho (N)
HexNAc2Hex9Phospho* (N)
HexNAc2Hex9PhosphoFuc (N)
HexNAc2Hex9PhosphoFuc* (N)
HexNAc2Hex9PhosphoFuc2 (N)
HexNAc2Hex9PhosphoFuc2* (N)
HexNAc2Hex9Phospho2 (N)
HexNAc2Hex9Phospho2* (N)
HexNAc2Hex9Phospho2Fuc (N)
HexNAc2Hex9Phospho2Fuc* (N)
HexNAc2Hex9Phospho2Fuc2 (N)
HexNAc2Hex9Phospho2Fuc2* (N)
HexNAc2Hex10 (N)
HexNAc2Hex10* (N)
HexNAc2Hex10Fuc (N)
HexNAc2Hex10Fuc* (N)
HexNAc2Hex11 (N)
HexNAc2Hex11* (N)
HexNAc2Hex12 (N)
HexNAc2Hex12* (N)
HexNAc2NeuAc (Neutral loss)
HexNAc2NeuAc (ST)
HexNAc2Xyl (N)
HexNAc2Xyl* (N)
HexNAc3 (Neutral loss)
HexNAc3 (ST)
HexNAc3Fuc (Neutral loss)
HexNAc3Fuc (ST)
HexNAc3Hex (Neutral loss)
HexNAc3Hex (ST)
HexNAc3HexFuc (Neutral loss)
HexNAc3HexFuc (ST)
HexNAc3HexFucNeuAc (Neutral loss)
HexNAc3HexFucNeuAc (ST)
HexNAc3HexFucNeuGc (Neutral loss)
HexNAc3HexFucNeuGc (ST)
HexNAc3HexFuc2 (Neutral loss)
HexNAc3HexFuc2 (ST)
HexNAc3HexFuc2NeuAc (Neutral loss)
HexNAc3HexFuc2NeuAc (ST)
HexNAc3HexNeuAc (Neutral loss)
HexNAc3HexNeuAc (ST)
HexNAc3HexSulfo (Neutral loss)
HexNAc3HexSulfo (ST)
HexNAc3Hex2 (Neutral loss)
HexNAc3Hex2 (ST)
HexNAc3Hex2Fuc (Neutral loss)
HexNAc3Hex2Fuc (ST)
HexNAc3Hex2FucNeuAc (Neutral loss)
HexNAc3Hex2FucNeuAc (ST)
HexNAc3Hex2Fuc2 (Neutral loss)
HexNAc3Hex2Fuc2 (ST)
HexNAc3Hex2Fuc2NeuAc (Neutral loss)
HexNAc3Hex2Fuc2NeuAc (ST)
HexNAc3Hex2Fuc3 (Neutral loss)
HexNAc3Hex2Fuc3 (ST)
HexNAc3Hex2Fuc4 (Neutral loss)
HexNAc3Hex2Fuc4 (ST)
HexNAc3Hex2NeuAc (Neutral loss)
HexNAc3Hex2NeuAc (ST)
HexNAc3Hex2NeuAc2 (Neutral loss)
HexNAc3Hex2NeuAc2 (ST)
HexNAc3Hex2Sulfo (Neutral loss)
HexNAc3Hex2Sulfo (ST)
HexNAc3Hex3 (N)
